Summary of the training: 
(' ave_R ', 396.24, ' std_R ', 321.29, ' min_R ', 0.0, ' max_R ', 1601.09, ' times ', 18425674, ' epi', 12900, ' clock ', 36.55, ' min')
(' ave_R ', 383.4, ' std_R ', 311.58, ' min_R ', 0.0, ' max_R ', 1601.09, ' times ', 18696303, ' epi', 13000, ' clock ', 37.09, ' min')
(' ave_R ', 422.33, ' std_R ', 361.9, ' min_R ', 0.0, ' max_R ', 1639.36, ' times ', 18961792, ' epi', 13100, ' clock ', 37.62, ' min')
(' ave_R ', 438.45, ' std_R ', 374.05, ' min_R ', 0.0, ' max_R ', 1639.36, ' times ', 19210502, ' epi', 13200, ' clock ', 38.12, ' min')
(' ave_R ', 415.43, ' std_R ', 378.84, ' min_R ', 0.0, ' max_R ', 1639.36, ' times ', 19456990, ' epi', 13300, ' clock ', 38.56, ' min')
(' ave_R ', 402.86, ' std_R ', 374.73, ' min_R ', 0.0, ' max_R ', 1639.36, ' times ', 19703792, ' epi', 13400, ' clock ', 39.03, ' min')
(' ave_R ', 396.9, ' std_R ', 385.03, ' min_R ', 0.0, ' max_R ', 1639.36, ' times ', 19942372, ' epi', 13500, ' clock ', 39.47, ' min')
(' ave_R ', 414.04, ' std_R ', 387.21, ' min_R ', 0.0, ' max_R ', 1639.36, ' times ', 20178353, ' epi', 13600, ' clock ', 39.88, ' min')
(' ave_R ', 395.83, ' std_R ', 386.93, ' min_R ', 0.0, ' max_R ', 1639.36, ' times ', 20436239, ' epi', 13700, ' clock ', 40.34, ' min')
(' ave_R ', 417.2, ' std_R ', 411.21, ' min_R ', 0.0, ' max_R ', 1697.5, ' times ', 20705548, ' epi', 13800, ' clock ', 40.86, ' min')
(' ave_R ', 409.24, ' std_R ', 401.27, ' min_R ', 0.0, ' max_R ', 1697.5, ' times ', 20991677, ' epi', 13900, ' clock ', 41.4, ' min')
(' ave_R ', 427.99, ' std_R ', 407.12, ' min_R ', 0.0, ' max_R ', 1697.5, ' times ', 21269982, ' epi', 14000, ' clock ', 41.91, ' min')
(' ave_R ', 389.06, ' std_R ', 362.52, ' min_R ', 0.0, ' max_R ', 1697.5, ' times ', 21521944, ' epi', 14100, ' clock ', 42.36, ' min')
(' ave_R ', 383.46, ' std_R ', 363.09, ' min_R ', 0.0, ' max_R ', 1697.5, ' times ', 21821944, ' epi', 14200, ' clock ', 42.88, ' min')
(' ave_R ', 387.21, ' std_R ', 360.19, ' min_R ', 0.0, ' max_R ', 1697.5, ' times ', 22086834, ' epi', 14300, ' clock ', 43.38, ' min')
(' ave_R ', 393.44, ' std_R ', 353.68, ' min_R ', 0.0, ' max_R ', 1697.5, ' times ', 22357990, ' epi', 14400, ' clock ', 43.91, ' min')
(' ave_R ', 397.53, ' std_R ', 353.54, ' min_R ', 0.0, ' max_R ', 1697.5, ' times ', 22610468, ' epi', 14500, ' clock ', 44.4, ' min')
(' ave_R ', 393.3, ' std_R ', 355.96, ' min_R ', 0.0, ' max_R ', 1697.5, ' times ', 22870841, ' epi', 14600, ' clock ', 44.87, ' min')
(' ave_R ', 390.93, ' std_R ', 356.22, ' min_R ', 0.0, ' max_R ', 1697.5, ' times ', 23119842, ' epi', 14700, ' clock ', 45.37, ' min')
(' ave_R ', 386.87, ' std_R ', 330.04, ' min_R ', 0.0, ' max_R ', 1260.51, ' times ', 23384095, ' epi', 14800, ' clock ', 45.85, ' min')
(' ave_R ', 384.49, ' std_R ', 319.04, ' min_R ', 0.0, ' max_R ', 1260.51, ' times ', 23657143, ' epi', 14900, ' clock ', 46.36, ' min')
(' ave_R ', 350.45, ' std_R ', 311.53, ' min_R ', 0.0, ' max_R ', 1260.51, ' times ', 23931679, ' epi', 15000, ' clock ', 46.88, ' min')
(' ave_R ', 361.48, ' std_R ', 326.62, ' min_R ', 0.0, ' max_R ', 1260.51, ' times ', 24160594, ' epi', 15100, ' clock ', 47.31, ' min')
(' ave_R ', 337.62, ' std_R ', 309.5, ' min_R ', 0.0, ' max_R ', 1255.41, ' times ', 24391584, ' epi', 15200, ' clock ', 47.76, ' min')
(' ave_R ', 370.41, ' std_R ', 337.88, ' min_R ', 0.0, ' max_R ', 1415.55, ' times ', 24646123, ' epi', 15300, ' clock ', 48.27, ' min')
(' ave_R ', 363.33, ' std_R ', 340.04, ' min_R ', 0.0, ' max_R ', 1415.55, ' times ', 24848390, ' epi', 15400, ' clock ', 48.69, ' min')
(' ave_R ', 352.54, ' std_R ', 330.35, ' min_R ', 0.0, ' max_R ', 1415.55, ' times ', 25082274, ' epi', 15500, ' clock ', 49.14, ' min')
(' ave_R ', 350.47, ' std_R ', 322.83, ' min_R ', 0.0, ' max_R ', 1415.55, ' times ', 25310792, ' epi', 15600, ' clock ', 49.56, ' min')
(' ave_R ', 391.36, ' std_R ', 363.24, ' min_R ', 0.0, ' max_R ', 1519.57, ' times ', 25587915, ' epi', 15700, ' clock ', 50.04, ' min')
(' ave_R ', 398.12, ' std_R ', 365.6, ' min_R ', 0.0, ' max_R ', 1519.57, ' times ', 25832462, ' epi', 15800, ' clock ', 50.47, ' min')
(' ave_R ', 391.73, ' std_R ', 364.58, ' min_R ', 0.0, ' max_R ', 1519.57, ' times ', 26095715, ' epi', 15900, ' clock ', 50.96, ' min')
(' ave_R ', 407.45, ' std_R ', 367.9, ' min_R ', 0.0, ' max_R ', 1519.57, ' times ', 26386706, ' epi', 16000, ' clock ', 51.5, ' min')
(' ave_R ', 400.91, ' std_R ', 365.65, ' min_R ', 0.0, ' max_R ', 1519.57, ' times ', 26656925, ' epi', 16100, ' clock ', 52.01, ' min')
(' ave_R ', 417.75, ' std_R ', 367.68, ' min_R ', 0.0, ' max_R ', 1519.57, ' times ', 26934027, ' epi', 16200, ' clock ', 52.5, ' min')
(' ave_R ', 394.09, ' std_R ', 352.6, ' min_R ', 0.0, ' max_R ', 1519.57, ' times ', 27220601, ' epi', 16300, ' clock ', 52.98, ' min')
(' ave_R ', 426.14, ' std_R ', 391.3, ' min_R ', 0.0, ' max_R ', 1766.51, ' times ', 27480436, ' epi', 16400, ' clock ', 53.47, ' min')
(' ave_R ', 435.93, ' std_R ', 390.61, ' min_R ', 0.0, ' max_R ', 1766.51, ' times ', 27701197, ' epi', 16500, ' clock ', 53.88, ' min')
